@RELATION digimon

@ATTRIBUTE Stage {Armor,Baby,Champion,In-Training,Mega,Rookie,Stage,Ultimate,Ultra}
@ATTRIBUTE Type {Data,Free,Type,Vaccine,Virus}
@ATTRIBUTE Memory REAL
@ATTRIBUTE EquipSlot REAL
@ATTRIBUTE Lv50HP REAL
@ATTRIBUTE Lv50SP REAL
@ATTRIBUTE Lv50Atk REAL
@ATTRIBUTE Lv50Def REAL
@ATTRIBUTE Lv50Int REAL
@ATTRIBUTE Lv50Spd REAL
@ATTRIBUTE Attribute {Attribute,Dark,Earth,Electric,Fire,Light,Neutral,Plant,Water,Wind}
@ATTRIBUTE Class {AeroVeedramon,Agumon,AgumonBlk,Alphamon,Andromon,Angemon,Angewomon,Ankylomon,Antylamon,Aquilamon,Armadillomon,Bakemon,BanchoLeomon,Barbamon,Beelzemon,BeelzemonBM,BelphemonRM,BelphemonSM,Betamon,Birdramon,Biyomon,BlackGatomon,BlackKingNumemon,BlackWarGreymon,BlueMeramon,Boltmon,Botamon,Bukamon,CannonBeemon,ChaosGallantmon,Chaosmon,Cherrymon,Chirinmon,Clockmon,Craniamon,Creepymon,Crowmon,Crusadermon,Cyberdramon,Cyclonemon,Darkdramon,Datamon,DemiDevimon,Devimon,Diaboromon,Dianamon,Digimon,Digitamamon,DoruGreymon,Dorugamon,Dorumon,Dynasmon,Ebemon,Elecmon,Etemon,ExVeemon,Examon,Falcomon,Flamedramon,Frigimon,Gabumon,GabumonBlk,Gaiomon,Gallantmon,Gankoomon,GaoGamon,Gaomon,Gargomon,Garudamon,Garurumon,GarurumonBlk,Gatomon,Gazimon,Gekomon,GeoGreymon,Geremon,Gigadramon,Goblimon,GoldNumemon,Gomamon,Gotsumon,GranKuwagamon,GrapLeomon,Greymon,GreymonBlue,GroundLocomon,Growlmon,Guardromon,Guilmon,Hackmon,Hagurumon,Hawkmon,HerculesKabuterimon,HiAndromon,Hououmon,IceDevimon,Ikkakumon,ImperialdramonDM,ImperialdramonFM,ImperialdramonPM,Impmon,Infermon,Jesmon,Justimon,Kabuterimon,Kentaurosmon,Keramon,KerpymonBlk,KerpymonGood,Knightmon,Koromon,Kudamon,Kuramon,Kurisarimon,Kuwagamon,Kuzuhamon,Kyubimon,LadyDevimon,Lalamon,Leomon,Leopardmon,LeopardmonLM,Leviamon,Lilamon,Lilithmon,Lillymon,Lopmon,Lotosmon,Lucemon,LucemonFM,LucemonSM,MachGaogamon,Machinedramon,MagnaAngemon,Magnadramon,Magnamon,Mamemon,MarineAngemon,Mastemon,MegaGargomon,MegaKabuterimon,MegaSeadramon,Megadramon,Meramon,MetalEtemon,MetalGarurumon,MetalGarurumonBlk,MetalGreymon,MetalGreymonBlue,MetalMamemon,MetalSeadramon,MetalTyrannomon,Meteormon,Minervamon,MirageGaogamon,MirageGaogamonBM,Monzaemon,Motimon,Myotismon,Nanimon,Numemon,Nyaromon,Ogremon,Okuwamon,Omnimon,OmnimonZwart,Ophanimon,Otamamon,Pabumon,Pagumon,Paildramon,Palmon,Panjyamon,Patamon,Peckmon,Piedmon,Piximon,PlatinumNumemon,PlatinumSukamon,Plesiomon,Poyomon,PrinceMamemon,Pumpkinmon,Punimon,Puppetmon,Rapidmon,RapidmonArmor,Ravemon,RavemonBM,Renamon,Reppamon,RizeGreymon,Rosemon,RosemonBM,RustTyranomon,SaberLeomon,Sakuyamon,Salamon,Seadramon,Seraphimon,Shakkoumon,ShellNumemon,ShineGreymon,ShineGreymonBM,ShogunGekomon,Silphymon,SkullGreymon,SkullMeramon,Socerimon,Solarmon,Starmon,Stingmon,Sukamon,Sunflowmon,SuperStarmon,Syakomon,Tanemon,Tankmon,Taomon,Tentomon,Terriermon,TigerVespamon,Titamon,Togemon,Tokomon,ToyAgumon,Tsumemon,Tsunomon,Tyrannomon,UlforceVeedramon,Vademon,Valkyrimon,Veedramon,Veemon,Vegiemon,VenomMyotismon,Vikemon,Wanyamon,WarGreymon,WarGrowlmon,Waspmon,WereGarurumon,WereGarurumonBlk,Whamon,Wisemon,Wizardmon,Woodmon,Wormmon,Yokomon,Zudomon}

@DATA
Baby,Free,2,0,590,77,79,69,68,95,Neutral,Kuramon
Baby,Free,2,0,950,62,76,76,69,68,Neutral,Pabumon
Baby,Free,2,0,870,50,97,87,50,75,Neutral,Punimon
Baby,Free,2,0,690,68,77,95,76,61,Neutral,Botamon
Baby,Free,2,0,540,98,54,59,95,86,Neutral,Poyomon
In-Training,Free,3,0,940,52,109,93,52,76,Fire,Koromon
In-Training,Free,3,0,1030,64,85,82,73,69,Plant,Tanemon
In-Training,Free,3,0,930,54,107,92,54,76,Earth,Tsunomon
In-Training,Free,3,0,930,64,108,64,54,93,Dark,Tsumemon
In-Training,Free,3,0,640,86,76,74,74,103,Neutral,Tokomon
In-Training,Free,3,0,540,107,54,64,103,94,Light,Nyaromon
In-Training,Free,3,0,550,103,60,63,102,93,Dark,Pagumon
In-Training,Free,3,0,1040,64,82,82,75,69,Plant,Yokomon
In-Training,Free,3,0,830,93,54,74,103,69,Water,Bukamon
In-Training,Free,3,0,1030,63,82,81,78,69,Neutral,Motimon
In-Training,Free,3,0,830,82,79,75,75,82,Wind,Wanyamon
Rookie,Vaccine,5,1,1030,59,131,103,54,86,Fire,Agumon
Rookie,Virus,5,1,1020,56,124,108,56,85,Fire,AgumonBlk
Rookie,Free,4,1,1160,85,67,111,65,72,Earth,Armadillomon
Rookie,Virus,5,1,530,114,83,65,114,102,Dark,Impmon
Rookie,Data,4,1,930,93,82,79,79,90,Electric,Elecmon
Rookie,Virus,4,1,930,105,52,75,113,78,Water,Otamamon
Rookie,Data,5,1,1030,69,118,74,66,101,Neutral,Gaomon
Rookie,Virus,4,1,970,71,123,64,59,102,Dark,Gazimon
Rookie,Data,5,1,980,88,94,81,79,91,Fire,Gabumon
Rookie,Virus,5,1,950,83,99,89,74,91,Fire,GabumonBlk
Rookie,Virus,5,1,1050,69,133,74,54,101,Fire,Guilmon
Rookie,Vaccine,5,1,590,128,53,74,117,105,Light,Kudamon
Rookie,Free,5,1,1030,74,123,69,61,101,Dark,Keramon
Rookie,Data,5,1,790,79,93,118,90,72,Earth,Gotsumon
Rookie,Virus,4,1,1050,51,115,110,51,84,Earth,Goblimon
Rookie,Vaccine,5,1,1160,69,93,93,81,79,Water,Gomamon
Rookie,Virus,4,1,870,100,53,86,112,78,Water,Syakomon
Rookie,Vaccine,4,1,1030,88,69,108,71,77,Light,Solarmon
Rookie,Vaccine,4,1,690,93,84,75,84,112,Wind,Terriermon
Rookie,Vaccine,4,1,750,79,86,110,93,73,Plant,Tentomon
Rookie,Vaccine,4,1,1110,87,72,112,63,71,Neutral,ToyAgumon
Rookie,Data,5,1,1020,65,128,79,56,101,Neutral,Dorumon
Rookie,Virus,4,1,1090,91,66,110,69,71,Electric,Hagurumon
Rookie,Data,4,1,880,93,79,74,92,90,Wind,Patamon
Rookie,Data,5,1,1030,59,118,108,63,85,Fire,Hackmon
Rookie,Data,5,1,1140,65,103,90,80,79,Plant,Palmon
Rookie,Virus,4,1,650,87,89,76,89,111,Dark,DemiDevimon
Rookie,Vaccine,4,1,830,93,85,79,85,91,Wind,Biyomon
Rookie,Vaccine,5,1,740,93,94,79,79,113,Wind,Falcomon
Rookie,Free,5,1,1040,74,130,74,53,101,Neutral,Veemon
Rookie,Vaccine,4,1,540,118,59,69,119,97,Light,Salamon
Rookie,Virus,4,1,870,101,61,76,113,78,Water,Betamon
Rookie,Free,5,1,690,88,99,79,83,114,Wind,Hawkmon
Rookie,Data,4,1,1100,74,87,87,79,79,Plant,Lalamon
Rookie,Vaccine,14,1,1230,148,59,104,208,119,Light,Lucemon
Rookie,Data,5,1,930,93,89,74,89,93,Plant,Renamon
Rookie,Data,4,1,790,79,103,68,103,85,Earth,Lopmon
Rookie,Free,4,1,760,76,92,111,90,71,Plant,Wormmon
Champion,Virus,8,1,990,94,140,89,118,92,Water,IceDevimon
Champion,Free,8,1,840,108,109,89,89,143,Wind,Aquilamon
Champion,Free,6,2,1330,98,89,133,79,79,Earth,Ankylomon
Champion,Vaccine,8,1,1330,84,118,102,94,90,Water,Ikkakumon
